,Stage,Date,Distance,Origin,Destination,Type,Winner,Winner_Country,Year
326,11,2002-07-18,158.0,Pau,La Mongie,Mountain Stage,Lance Armstrong[n 1],USA,2002
327,12,2002-07-19,199.5,Lannemezan,Plateau de Beille,Mountain Stage,Lance Armstrong[n 1],USA,2002
328,13,2002-07-20,171.0,Lavelanet,Béziers,Flat Stage,David Millar,GBR,2002
329,14,2002-07-21,221.0,Lodève,Mont Ventoux,Mountain Stage,Richard Virenque,FRA,2002
330,15,2002-07-23,226.5,Vaison-la-Romaine,Les Deux Alpes,Hilly Stage,Santiago Botero,COL,2002
331,16,2002-07-24,179.5,Les Deux Alpes,La Plagne,Mountain Stage,Michael Boogerd,NED,2002
332,17,2002-07-25,142.0,Aime,Cluses,Mountain Stage,Dario Frigo,ITA,2002
333,18,2002-07-26,176.5,Cluses,Bourg-en-Bresse,Hilly Stage,Thor Hushovd,NOR,2002
334,19,2002-07-27,50.0,Régnié-Durette,Mâcon,Individual Time Trial,Lance Armstrong[n 1],USA,2002
335,20,2002-07-28,144.0,Melun,Paris,Flat Stage,Robbie McEwen,AUS,2002
336,P,2001-07-07,8.2,Dunkirk,Dunkirk,Individual Time Trial,Christophe Moreau,FRA,2001
337,1,2001-07-08,194.5,Saint-Omer,Boulogne-sur-Mer,Flat Stage,Erik Zabel,GER,2001
338,2,2001-07-09,220.5,Calais,Antwerp,Flat Stage,Marc Wauters,BEL,2001
339,3,2001-07-10,198.5,Antwerp,Seraing,Flat Stage,Erik Zabel,GER,2001
340,4,2001-07-11,215.0,Huy,Verdun,Flat Stage,Laurent Jalabert,FRA,2001
341,5,2001-07-12,67.0,Verdun,Bar-le-Duc,Team Time Trial,Crédit Agricole,,2001
342,6,2001-07-13,211.5,Commercy,Strasbourg,Flat Stage,Jaan Kirsipuu,EST,2001
343,7,2001-07-14,162.5,Strasbourg,Colmar,Hilly Stage,Laurent Jalabert,FRA,2001
344,8,2001-07-15,222.5,Colmar,Pontarlier,Flat Stage,Erik Dekker,NED,2001
345,9,2001-07-16,185.0,Pontarlier,Aix-les-Bains,Flat Stage,Serguei Ivanov,RUS,2001
346,10,2001-07-17,209.0,Aix-les-Bains,Alpe d'Huez,Mountain Stage,Lance Armstrong[n 1],USA,2001
347,11,2001-07-18,32.0,Grenoble,Chamrousse,Individual Time Trial,Lance Armstrong[n 1],USA,2001
348,12,2001-07-20,166.5,Perpignan,Plateau de Bonascre,Mountain Stage,Félix Cárdenas,COL,2001
349,13,2001-07-21,194.0,Foix,Saint-Lary-Soulan Pla d'Adet,Mountain Stage,Lance Armstrong[n 1],USA,2001
350,14,2001-07-22,141.5,Tarbes,Luz Ardiden,Mountain Stage,Roberto Laiseka,ESP,2001
351,15,2001-07-24,232.5,Pau,Lavaur,Flat Stage,Rik Verbrugghe,BEL,2001
352,16,2001-07-25,229.5,Castelsarrasin,Sarran,Flat Stage,Jens Voigt,GER,2001
353,17,2001-07-26,194.0,Brive-la-Gaillarde,Montluçon,Flat Stage,Serge Baguet,BEL,2001
354,18,2001-07-27,61.0,Montluçon,Saint-Amand-Montrond,Individual Time Trial,Lance Armstrong[n 1],USA,2001
355,19,2001-07-28,149.5,Orléans,Évry,Flat Stage,Erik Zabel,GER,2001
356,20,2001-07-29,160.5,Corbeil-Essonnes,Paris,Flat Stage,Ján Svorada,CZE,2001
357,1,2000-07-01,16.5,Futuroscope,Futuroscope,Individual Time Trial,David Millar,GBR,2000
358,2,2000-07-02,194.0,Futuroscope,Loudun,Flat Stage,Tom Steels,BEL,2000
359,3,2000-07-03,161.5,Loudun,Nantes,Flat Stage,Tom Steels,BEL,2000
360,4,2000-07-04,70.0,Nantes,Saint-Nazaire,Team Time Trial,ONCE–Deutsche Bank,,2000
361,5,2000-07-05,202.0,Vannes,Vitré,Flat Stage,Marcel Wüst,GER,2000
362,6,2000-07-06,198.5,Vitré,Tours,Flat Stage,Leon van Bon,NED,2000
363,7,2000-07-07,205.5,Tours,Limoges,Flat Stage,Christophe Agnolutto,FRA,2000
364,8,2000-07-08,203.5,Limoges,Villeneuve-sur-Lot,Flat Stage,Erik Dekker,NED,2000
365,9,2000-07-09,181.0,Agen,Dax,Flat Stage,Paolo Bettini,ITA,2000
366,10,2000-07-10,205.0,Dax,Hautacam,Mountain Stage,Javier Otxoa,ESP,2000
367,11,2000-07-11,218.5,Bagnères-de-Bigorre,Revel,Hilly Stage,Erik Dekker,NED,2000
368,12,2000-07-13,149.0,Carpentras,Mont Ventoux,Mountain Stage,Marco Pantani,ITA,2000
369,13,2000-07-14,185.5,Avignon,Draguignan,Flat Stage,José Vicente Garcia,ESP,2000
370,14,2000-07-15,249.5,Draguignan,Briançon,Mountain Stage,Santiago Botero,COL,2000
371,15,2000-07-16,173.5,Briançon,Courchevel,Mountain Stage,Marco Pantani,ITA,2000
372,16,2000-07-18,196.5,Courchevel,Morzine,Mountain Stage,Richard Virenque,FRA,2000
373,17,2000-07-19,155.0,Évian-les-Bains,Lausanne,Hilly Stage,Erik Dekker,NED,2000
374,18,2000-07-20,246.5,Lausanne,Freiburg,Flat Stage,Salvatore Commesso,ITA,2000
375,19,2000-07-21,58.5,Freiburg,Mulhouse,Individual Time Trial,Lance Armstrong[n 1],USA,2000
376,20,2000-07-22,254.5,Belfort,Troyes,Flat Stage,Erik Zabel,GER,2000
377,21,2000-07-23,138.0,Paris,Paris,Flat Stage,Stefano Zanini,ITA,2000
378,P,1999-07-03,6.8,Le Puy du Fou,Le Puy du Fou,Individual Time Trial,Lance Armstrong[n 1],USA,1999
379,1,1999-07-04,208.0,Montaigu,Challans,Flat Stage,Jaan Kirsipuu,EST,1999
380,2,1999-07-05,176.0,Challans,Saint-Nazaire,Flat Stage,Tom Steels,BEL,1999
381,3,1999-07-06,194.5,Nantes,Laval,Flat Stage,Tom Steels,BEL,1999
382,4,1999-07-07,194.5,Laval,Blois,Flat Stage,Mario Cipollini,ITA,1999
383,5,1999-07-08,233.5,Bonneval,Amiens,Flat Stage,Mario Cipollini,ITA,1999
384,6,1999-07-09,171.5,Amiens,Maubeuge,Flat Stage,Mario Cipollini,ITA,1999
385,7,1999-07-10,227.0,Avesnes-sur-Helpe,Thionville,Flat Stage,Mario Cipollini,ITA,1999
386,8,1999-07-11,56.5,Metz,Metz,Individual Time Trial,Lance Armstrong[n 1],USA,1999
387,9,1999-07-13,213.5,Le Grand-Bornand,Sestrières,Mountain Stage,Lance Armstrong[n 1],USA,1999
388,10,1999-07-14,220.5,Sestrières,Alpe d'Huez,Mountain Stage,Giuseppe Guerini,ITA,1999
389,11,1999-07-15,198.5,Le Bourg-d'Oisans,Saint-Étienne,Hilly Stage,Ludo Dierckxsens,BEL,1999
390,12,1999-07-16,201.5,Saint-Galmier,Saint-Flour,Hilly Stage,David Etxebarria,ESP,1999
391,13,1999-07-17,236.5,Saint-Flour,Albi,Hilly Stage,Salvatore Commesso,ITA,1999
392,14,1999-07-18,199.0,Castres,Saint-Gaudens,Flat Stage,Dmitri Konychev,RUS,1999
393,15,1999-07-20,173.0,Saint-Gaudens,Piau-Engaly,Mountain Stage,Fernando Escartín,ESP,1999
394,16,1999-07-21,192.0,Lannemezan,Pau,Mountain Stage,David Etxebarria,ESP,1999
395,17,1999-07-22,200.0,Mourenx,Bordeaux,Flat Stage,Tom Steels,BEL,1999
396,18,1999-07-23,187.5,Jonzac,Futuroscope,Flat Stage,Giampaolo Mondini,ITA,1999
397,19,1999-07-24,57.0,Futuroscope,Futuroscope,Individual Time Trial,Lance Armstrong[n 1],USA,1999
398,20,1999-07-25,143.5,Arpajon,Paris,Flat Stage,Robbie McEwen,AUS,1999
399,P,1998-07-11,5.6,Dublin,Dublin,Individual Time Trial,Chris Boardman,GBR,1998
400,1,1998-07-12,180.5,Dublin,Dublin,Flat Stage,Tom Steels,BEL,1998
401,2,1998-07-13,205.5,Enniscorthy,Cork,Flat Stage,Ján Svorada,CZE,1998
402,3,1998-07-14,169.0,Roscoff,Lorient,Flat Stage,Jens Heppner,GER,1998
403,4,1998-07-15,252.0,Plouay,Cholet,Flat Stage,Jeroen Blijlevens,NED,1998
404,5,1998-07-16,228.5,Cholet,Châteauroux,Flat Stage,Mario Cipollini,ITA,1998
405,6,1998-07-17,204.5,La Châtre,Brive-la-Gaillarde,Flat Stage,Mario Cipollini,ITA,1998
406,7,1998-07-18,58.0,Meyrignac-l'Église,Corrèze,Individual Time Trial,Jan Ullrich,GER,1998
